sensor_id,timestamp,movement_type,direction,season,foot_traffic_count,vehicle_count,public_transport_ref,vu_schedule_ref
10,2025-05-19 14:00:00,"Cyclist",,,0,0,false,false
3,2025-05-19 14:00:00,"Cyclist",,,0,0,false,false
1,2025-05-19 14:00:00,"Cyclist",,,0,0,false,false
11,2025-05-19 14:00:00,"Cyclist",,,0,0,false,false
5,2025-05-19 14:00:00,"Cyclist",,,0,0,false,false
13,2025-05-19 14:00:00,"Cyclist",,,0,0,false,false
4,2025-05-19 14:00:00,"Cyclist",,,0,0,false,false
2,2025-05-19 14:00:00,"Cyclist",,,0,0,false,false
7,2025-05-19 14:00:00,"Cyclist",,,2,0,false,false
6,2025-05-19 14:00:00,"Cyclist",,,0,0,false,false
4,2025-05-19 13:54:58,"Pedestrian",,,2901,0,false,false
4,2025-05-19 13:54:58,"Vehicle",,,0,4257,false,false
3,2025-05-19 13:52:41,"Pedestrian",,,3510,0,false,false
3,2025-05-19 13:52:41,"Vehicle",,,0,4928,false,false
2,2025-05-19 13:50:06,"Vehicle",,,0,3375,false,false
2,2025-05-19 13:50:06,"Pedestrian",,,669,0,false,false
10,2025-05-19 13:48:37,"Vehicle",,,0,1307,false,false
11,2025-05-19 13:48:37,"Pedestrian",,,310,0,false,false
8,2025-05-19 13:46:02,"Pedestrian",,,0,0,false,false
6,2025-05-19 13:46:02,"Vehicle",,,0,0,false,false
1,2025-05-19 13:42:43,"Pedestrian",,,2487,0,false,false
1,2025-05-19 13:42:43,"Vehicle",,,0,5776,false,false
7,2025-05-19 13:39:47,"Pedestrian",,,4511,0,false,false
5,2025-05-19 13:39:47,"Vehicle",,,0,1731,false,false
10,2025-05-19 13:37:14,"Pedestrian",,,3979,0,false,false
9,2025-05-19 13:37:14,"Vehicle",,,0,6083,false,false
8,2025-05-19 13:34:19,"Vehicle",,,0,1611,false,false
9,2025-05-19 13:34:19,"Pedestrian",,,439,0,false,false
5,2025-05-19 13:32:28,"Pedestrian",,,1012,0,false,false
6,2025-05-19 13:31:21,"Pedestrian",,,266,0,false,false
10,2025-05-19 13:30:00,"Cyclist",,,19,0,false,false
3,2025-05-19 13:30:00,"Cyclist",,,45,0,false,false
8,2025-05-19 13:30:00,"Cyclist",,,0,0,false,false
4,2025-05-19 13:30:00,"Cyclist",,,10,0,false,false
2,2025-05-19 13:30:00,"Cyclist",,,7,0,false,false
13,2025-05-19 13:30:00,"Cyclist",,,8,0,false,false
7,2025-05-19 13:30:00,"Cyclist",,,65,0,false,false
6,2025-05-19 13:30:00,"Cyclist",,,45,0,false,false
5,2025-05-19 13:30:00,"Cyclist",,,12,0,false,false
1,2025-05-19 13:30:00,"Cyclist",,,74,0,false,false
11,2025-05-19 13:30:00,"Cyclist",,,149,0,false,false
4,2025-05-19 13:24:48,"Vehicle",,,0,4227,false,false
4,2025-05-19 13:24:48,"Pedestrian",,,2895,0,false,false
3,2025-05-19 13:22:37,"Vehicle",,,0,4877,false,false
3,2025-05-19 13:22:37,"Pedestrian",,,3505,0,false,false
2,2025-05-19 13:20:04,"Pedestrian",,,665,0,false,false
2,2025-05-19 13:20:04,"Vehicle",,,0,3353,false,false
11,2025-05-19 13:18:36,"Pedestrian",,,310,0,false,false
10,2025-05-19 13:18:36,"Vehicle",,,0,1307,false,false
8,2025-05-19 13:16:04,"Pedestrian",,,0,0,false,false
6,2025-05-19 13:16:04,"Vehicle",,,0,0,false,false
1,2025-05-19 13:12:48,"Pedestrian",,,2483,0,false,false
1,2025-05-19 13:12:48,"Vehicle",,,0,5742,false,false
5,2025-05-19 13:09:53,"Vehicle",,,0,1721,false,false
7,2025-05-19 13:09:53,"Pedestrian",,,4503,0,false,false
9,2025-05-19 13:07:18,"Vehicle",,,0,6018,false,false
10,2025-05-19 13:07:18,"Pedestrian",,,3966,0,false,false
9,2025-05-19 13:04:22,"Pedestrian",,,439,0,false,false
8,2025-05-19 13:04:22,"Vehicle",,,0,1609,false,false
5,2025-05-19 13:02:30,"Pedestrian",,,1012,0,false,false
6,2025-05-19 13:01:23,"Pedestrian",,,266,0,false,false
3,2025-05-19 13:00:00,"Cyclist",,,45,0,false,false
10,2025-05-19 13:00:00,"Cyclist",,,19,0,false,false
5,2025-05-19 13:00:00,"Cyclist",,,12,0,false,false
11,2025-05-19 13:00:00,"Cyclist",,,149,0,false,false
1,2025-05-19 13:00:00,"Cyclist",,,74,0,false,false
8,2025-05-19 13:00:00,"Cyclist",,,0,0,false,false
4,2025-05-19 13:00:00,"Cyclist",,,10,0,false,false
2,2025-05-19 13:00:00,"Cyclist",,,7,0,false,false
6,2025-05-19 13:00:00,"Cyclist",,,45,0,false,false
7,2025-05-19 13:00:00,"Cyclist",,,63,0,false,false
13,2025-05-19 13:00:00,"Cyclist",,,8,0,false,false
4,2025-05-19 12:55:04,"Pedestrian",,,2890,0,false,false
4,2025-05-19 12:55:04,"Vehicle",,,0,4203,false,false
3,2025-05-19 12:52:53,"Pedestrian",,,3487,0,false,false
3,2025-05-19 12:52:53,"Vehicle",,,0,4817,false,false
2,2025-05-19 12:50:20,"Vehicle",,,0,3324,false,false
2,2025-05-19 12:50:20,"Pedestrian",,,655,0,false,false
10,2025-05-19 12:48:52,"Vehicle",,,0,1307,false,false
11,2025-05-19 12:48:52,"Pedestrian",,,310,0,false,false
8,2025-05-19 12:46:17,"Pedestrian",,,0,0,false,false
6,2025-05-19 12:46:17,"Vehicle",,,0,0,false,false
1,2025-05-19 12:42:55,"Pedestrian",,,2481,0,false,false
1,2025-05-19 12:42:55,"Vehicle",,,0,5717,false,false
7,2025-05-19 12:39:58,"Pedestrian",,,4489,0,false,false
5,2025-05-19 12:39:58,"Vehicle",,,0,1710,false,false
10,2025-05-19 12:37:23,"Pedestrian",,,3947,0,false,false
9,2025-05-19 12:37:23,"Vehicle",,,0,5942,false,false
8,2025-05-19 12:34:26,"Vehicle",,,0,1608,false,false
9,2025-05-19 12:34:26,"Pedestrian",,,439,0,false,false
5,2025-05-19 12:32:31,"Pedestrian",,,1012,0,false,false
6,2025-05-19 12:31:23,"Pedestrian",,,266,0,false,false
10,2025-05-19 12:30:00,"Cyclist",,,19,0,false,false
3,2025-05-19 12:30:00,"Cyclist",,,44,0,false,false
8,2025-05-19 12:30:00,"Cyclist",,,0,0,false,false
4,2025-05-19 12:30:00,"Cyclist",,,10,0,false,false
2,2025-05-19 12:30:00,"Cyclist",,,7,0,false,false
6,2025-05-19 12:30:00,"Cyclist",,,45,0,false,false
7,2025-05-19 12:30:00,"Cyclist",,,62,0,false,false
13,2025-05-19 12:30:00,"Cyclist",,,8,0,false,false
5,2025-05-19 12:30:00,"Cyclist",,,12,0,false,false
1,2025-05-19 12:30:00,"Cyclist",,,74,0,false,false
11,2025-05-19 12:30:00,"Cyclist",,,149,0,false,false
4,2025-05-19 12:24:51,"Vehicle",,,0,4164,false,false
4,2025-05-19 12:24:51,"Pedestrian",,,2880,0,false,false
3,2025-05-19 12:22:36,"Vehicle",,,0,4740,false,false
3,2025-05-19 12:22:36,"Pedestrian",,,3473,0,false,false
2,2025-05-19 12:20:02,"Pedestrian",,,654,0,false,false
2,2025-05-19 12:20:02,"Vehicle",,,0,3280,false,false
11,2025-05-19 12:18:35,"Pedestrian",,,308,0,false,false
10,2025-05-19 12:18:35,"Vehicle",,,0,1307,false,false
8,2025-05-19 12:16:02,"Pedestrian",,,0,0,false,false
6,2025-05-19 12:16:02,"Vehicle",,,0,0,false,false
1,2025-05-19 12:12:45,"Pedestrian",,,2476,0,false,false
1,2025-05-19 12:12:45,"Vehicle",,,0,5688,false,false
5,2025-05-19 12:09:50,"Vehicle",,,0,1701,false,false
7,2025-05-19 12:09:50,"Pedestrian",,,4476,0,false,false
9,2025-05-19 12:07:17,"Vehicle",,,0,5841,false,false
10,2025-05-19 12:07:17,"Pedestrian",,,3927,0,false,false
9,2025-05-19 12:04:20,"Pedestrian",,,439,0,false,false
8,2025-05-19 12:04:20,"Vehicle",,,0,1605,false,false
5,2025-05-19 12:02:30,"Pedestrian",,,1012,0,false,false
6,2025-05-19 12:01:22,"Pedestrian",,,266,0,false,false
10,2025-05-19 12:00:00,"Cyclist",,,19,0,false,false
3,2025-05-19 12:00:00,"Cyclist",,,44,0,false,false
5,2025-05-19 12:00:00,"Cyclist",,,12,0,false,false
1,2025-05-19 12:00:00,"Cyclist",,,74,0,false,false
11,2025-05-19 12:00:00,"Cyclist",,,149,0,false,false
8,2025-05-19 12:00:00,"Cyclist",,,0,0,false,false
4,2025-05-19 12:00:00,"Cyclist",,,10,0,false,false
2,2025-05-19 12:00:00,"Cyclist",,,7,0,false,false
7,2025-05-19 12:00:00,"Cyclist",,,62,0,false,false
6,2025-05-19 12:00:00,"Cyclist",,,45,0,false,false
13,2025-05-19 12:00:00,"Cyclist",,,8,0,false,false
4,2025-05-19 11:55:09,"Pedestrian",,,2867,0,false,false
4,2025-05-19 11:55:09,"Vehicle",,,0,4131,false,false
3,2025-05-19 11:52:50,"Pedestrian",,,3458,0,false,false
3,2025-05-19 11:52:50,"Vehicle",,,0,4641,false,false
2,2025-05-19 11:50:14,"Vehicle",,,0,3237,false,false
2,2025-05-19 11:50:14,"Pedestrian",,,650,0,false,false
10,2025-05-19 11:48:44,"Vehicle",,,0,1307,false,false
11,2025-05-19 11:48:44,"Pedestrian",,,308,0,false,false
8,2025-05-19 11:46:10,"Pedestrian",,,0,0,false,false
6,2025-05-19 11:46:10,"Vehicle",,,0,0,false,false
1,2025-05-19 11:42:49,"Pedestrian",,,2461,0,false,false
1,2025-05-19 11:42:49,"Vehicle",,,0,5637,false,false
7,2025-05-19 11:39:53,"Pedestrian",,,4454,0,false,false
5,2025-05-19 11:39:53,"Vehicle",,,0,1684,false,false
10,2025-05-19 11:37:18,"Pedestrian",,,3897,0,false,false
9,2025-05-19 11:37:18,"Vehicle",,,0,5743,false,false
8,2025-05-19 11:34:22,"Vehicle",,,0,1605,false,false
9,2025-05-19 11:34:22,"Pedestrian",,,439,0,false,false
5,2025-05-19 11:32:30,"Pedestrian",,,1011,0,false,false
6,2025-05-19 11:31:22,"Pedestrian",,,266,0,false,false
10,2025-05-19 11:30:00,"Cyclist",,,19,0,false,false
3,2025-05-19 11:30:00,"Cyclist",,,44,0,false,false
8,2025-05-19 11:30:00,"Cyclist",,,0,0,false,false
2,2025-05-19 11:30:00,"Cyclist",,,7,0,false,false
4,2025-05-19 11:30:00,"Cyclist",,,10,0,false,false
6,2025-05-19 11:30:00,"Cyclist",,,45,0,false,false
7,2025-05-19 11:30:00,"Cyclist",,,62,0,false,false
13,2025-05-19 11:30:00,"Cyclist",,,8,0,false,false
5,2025-05-19 11:30:00,"Cyclist",,,12,0,false,false
1,2025-05-19 11:30:00,"Cyclist",,,73,0,false,false
11,2025-05-19 11:30:00,"Cyclist",,,149,0,false,false
4,2025-05-19 11:25:09,"Vehicle",,,0,4087,false,false
4,2025-05-19 11:25:09,"Pedestrian",,,2850,0,false,false
3,2025-05-19 11:22:54,"Vehicle",,,0,4538,false,false
3,2025-05-19 11:22:54,"Pedestrian",,,3432,0,false,false
2,2025-05-19 11:20:19,"Pedestrian",,,642,0,false,false
2,2025-05-19 11:20:19,"Vehicle",,,0,3177,false,false
11,2025-05-19 11:18:50,"Pedestrian",,,307,0,false,false
10,2025-05-19 11:18:50,"Vehicle",,,0,1307,false,false
8,2025-05-19 11:16:14,"Pedestrian",,,0,0,false,false
6,2025-05-19 11:16:14,"Vehicle",,,0,0,false,false
1,2025-05-19 11:12:54,"Pedestrian",,,2450,0,false,false
1,2025-05-19 11:12:54,"Vehicle",,,0,5586,false,false
5,2025-05-19 11:09:57,"Vehicle",,,0,1665,false,false
7,2025-05-19 11:09:57,"Pedestrian",,,4421,0,false,false
9,2025-05-19 11:07:20,"Vehicle",,,0,5616,false,false
10,2025-05-19 11:07:20,"Pedestrian",,,3869,0,false,false
9,2025-05-19 11:04:24,"Pedestrian",,,439,0,false,false
8,2025-05-19 11:04:24,"Vehicle",,,0,1604,false,false
5,2025-05-19 11:02:33,"Pedestrian",,,1011,0,false,false
6,2025-05-19 11:01:25,"Pedestrian",,,266,0,false,false
10,2025-05-19 11:00:00,"Cyclist",,,19,0,false,false
3,2025-05-19 11:00:00,"Cyclist",,,44,0,false,false
5,2025-05-19 11:00:00,"Cyclist",,,12,0,false,false
1,2025-05-19 11:00:00,"Cyclist",,,46,0,false,false
11,2025-05-19 11:00:00,"Cyclist",,,147,0,false,false
8,2025-05-19 11:00:00,"Cyclist",,,0,0,false,false
2,2025-05-19 11:00:00,"Cyclist",,,7,0,false,false
4,2025-05-19 11:00:00,"Cyclist",,,10,0,false,false
6,2025-05-19 11:00:00,"Cyclist",,,45,0,false,false
7,2025-05-19 11:00:00,"Cyclist",,,59,0,false,false
13,2025-05-19 11:00:00,"Cyclist",,,8,0,false,false
4,2025-05-19 10:55:15,"Pedestrian",,,2826,0,false,false
4,2025-05-19 10:55:15,"Vehicle",,,0,4043,false,false
3,2025-05-19 10:52:59,"Pedestrian",,,3385,0,false,false
3,2025-05-19 10:52:59,"Vehicle",,,0,4404,false,false
2,2025-05-19 10:50:22,"Vehicle",,,0,3103,false,false
2,2025-05-19 10:50:22,"Pedestrian",,,633,0,false,false
10,2025-05-19 10:48:52,"Vehicle",,,0,1306,false,false
11,2025-05-19 10:48:52,"Pedestrian",,,307,0,false,false
8,2025-05-19 10:46:17,"Pedestrian",,,0,0,false,false
6,2025-05-19 10:46:17,"Vehicle",,,0,0,false,false
1,2025-05-19 10:42:55,"Pedestrian",,,2430,0,false,false
1,2025-05-19 10:42:55,"Vehicle",,,0,5505,false,false
7,2025-05-19 10:39:58,"Pedestrian",,,4379,0,false,false
5,2025-05-19 10:39:58,"Vehicle",,,0,1629,false,false
10,2025-05-19 10:37:23,"Pedestrian",,,3825,0,false,false
9,2025-05-19 10:37:23,"Vehicle",,,0,5502,false,false
8,2025-05-19 10:34:27,"Vehicle",,,0,1603,false,false
9,2025-05-19 10:34:27,"Pedestrian",,,439,0,false,false
5,2025-05-19 10:32:34,"Pedestrian",,,1010,0,false,false
6,2025-05-19 10:31:25,"Pedestrian",,,266,0,false,false
10,2025-05-19 10:30:00,"Cyclist",,,19,0,false,false
3,2025-05-19 10:30:00,"Cyclist",,,44,0,false,false
8,2025-05-19 10:30:00,"Cyclist",,,0,0,false,false
2,2025-05-19 10:30:00,"Cyclist",,,7,0,false,false
4,2025-05-19 10:30:00,"Cyclist",,,10,0,false,false
7,2025-05-19 10:30:00,"Cyclist",,,58,0,false,false
