date,createdAt,timestamp,context,value
2025-03-04 00:00:00+11:00,1741132005589,1741006800000,{},0.0
2025-03-03 23:30:00+11:00,1741037193644,1741005000000,{},98.0
2025-03-03 23:00:00+11:00,1741037193021,1741003200000,{},98.0
2025-03-03 22:30:00+11:00,1741037192397,1741001400000,{},98.0
2025-03-03 22:00:00+11:00,1741037191774,1740999600000,{},98.0
2025-03-03 21:30:00+11:00,1741037191142,1740997800000,{},98.0
2025-03-03 21:00:00+11:00,1741037190505,1740996000000,{},98.0
2025-03-03 20:30:00+11:00,1741037189882,1740994200000,{},98.0
2025-03-03 20:00:00+11:00,1741037189257,1740992400000,{},98.0
2025-03-03 19:30:00+11:00,1741037188633,1740990600000,{},98.0
2025-03-03 19:00:00+11:00,1741037188009,1740988800000,{},97.0
2025-03-03 18:30:00+11:00,1741037187379,1740987000000,{},96.0
2025-03-03 18:00:00+11:00,1741037186757,1740985200000,{},89.0
2025-03-03 17:30:00+11:00,1741037186132,1740983400000,{},86.0
2025-03-03 17:00:00+11:00,1741037185507,1740981600000,{},85.0
2025-03-03 16:30:00+11:00,1741037184883,1740979800000,{},82.0
2025-03-03 16:00:00+11:00,1741037184261,1740978000000,{},77.0
2025-03-03 15:30:00+11:00,1741037183640,1740976200000,{},70.0
2025-03-03 15:00:00+11:00,1741037183017,1740974400000,{},66.0
2025-03-03 14:30:00+11:00,1741037182391,1740972600000,{},59.0
2025-03-03 14:00:00+11:00,1741037181766,1740970800000,{},56.0
2025-03-03 13:30:00+11:00,1741037181142,1740969000000,{},54.0
2025-03-03 13:00:00+11:00,1741037180499,1740967200000,{},49.0
2025-03-03 12:30:00+11:00,1741037179877,1740965400000,{},47.0
2025-03-03 12:00:00+11:00,1741037179251,1740963600000,{},46.0
2025-03-03 11:30:00+11:00,1741037178614,1740961800000,{},40.0
2025-03-03 11:00:00+11:00,1741037177991,1740960000000,{},38.0
2025-03-03 10:30:00+11:00,1741037177367,1740958200000,{},37.0
2025-03-03 10:00:00+11:00,1741037176743,1740956400000,{},37.0
2025-03-03 09:30:00+11:00,1741037176121,1740954600000,{},35.0
2025-03-03 09:00:00+11:00,1741037175496,1740952800000,{},34.0
2025-03-03 08:30:00+11:00,1741037174868,1740951000000,{},29.0
2025-03-03 08:00:00+11:00,1741037174239,1740949200000,{},22.0
2025-03-03 07:30:00+11:00,1741037173616,1740947400000,{},15.0
2025-03-03 07:00:00+11:00,1741037172994,1740945600000,{},8.0
2025-03-03 06:30:00+11:00,1741037172367,1740943800000,{},3.0
2025-03-03 06:00:00+11:00,1741037171745,1740942000000,{},1.0
2025-03-03 05:30:00+11:00,1741037171122,1740940200000,{},0.0
2025-03-03 05:00:00+11:00,1741037170496,1740938400000,{},0.0
2025-03-03 04:30:00+11:00,1741037169873,1740936600000,{},0.0
2025-03-03 04:00:00+11:00,1741037169248,1740934800000,{},0.0
2025-03-03 03:30:00+11:00,1741037168625,1740933000000,{},0.0
2025-03-03 03:00:00+11:00,1741037168003,1740931200000,{},0.0
2025-03-03 02:30:00+11:00,1741037167380,1740929400000,{},0.0
2025-03-03 02:00:00+11:00,1741037166757,1740927600000,{},0.0
2025-03-03 01:30:00+11:00,1741037166133,1740925800000,{},0.0
2025-03-03 01:00:00+11:00,1741037165504,1740924000000,{},0.0
2025-03-03 00:30:00+11:00,1741037164873,1740922200000,{},0.0
2025-03-03 00:00:00+11:00,1741037164252,1740920400000,{},0.0
2025-03-02 23:30:00+11:00,1740951767663,1740918600000,{},109.0
2025-03-02 23:00:00+11:00,1740951767040,1740916800000,{},109.0
2025-03-02 22:30:00+11:00,1740951766418,1740915000000,{},109.0
2025-03-02 22:00:00+11:00,1740951765796,1740913200000,{},109.0
2025-03-02 21:30:00+11:00,1740951765172,1740911400000,{},109.0
2025-03-02 21:00:00+11:00,1740951764549,1740909600000,{},109.0
2025-03-02 20:30:00+11:00,1740951763917,1740907800000,{},108.0
2025-03-02 20:00:00+11:00,1740951763266,1740906000000,{},108.0
2025-03-02 19:30:00+11:00,1740951762644,1740904200000,{},107.0
2025-03-02 19:00:00+11:00,1740951762020,1740902400000,{},104.0
2025-03-02 18:30:00+11:00,1740951761391,1740900600000,{},103.0
2025-03-02 18:00:00+11:00,1740951760758,1740898800000,{},92.0
2025-03-02 17:30:00+11:00,1740951760127,1740897000000,{},92.0
2025-03-02 17:00:00+11:00,1740951759505,1740895200000,{},88.0
2025-03-02 16:30:00+11:00,1740951758881,1740893400000,{},87.0
2025-03-02 16:00:00+11:00,1740951758254,1740891600000,{},83.0
2025-03-02 15:30:00+11:00,1740951757632,1740889800000,{},77.0
2025-03-02 15:00:00+11:00,1740951757004,1740888000000,{},76.0
2025-03-02 14:30:00+11:00,1740951756382,1740886200000,{},71.0
2025-03-02 14:00:00+11:00,1740951755759,1740884400000,{},66.0
2025-03-02 13:30:00+11:00,1740951755136,1740882600000,{},60.0
2025-03-02 13:00:00+11:00,1740951754515,1740880800000,{},58.0
2025-03-02 12:30:00+11:00,1740951753893,1740879000000,{},52.0
2025-03-02 12:00:00+11:00,1740951753272,1740877200000,{},40.0
2025-03-02 11:30:00+11:00,1740951752650,1740875400000,{},35.0
2025-03-02 11:00:00+11:00,1740951752020,1740873600000,{},31.0
2025-03-02 10:30:00+11:00,1740951751396,1740871800000,{},26.0
2025-03-02 10:00:00+11:00,1740951750775,1740870000000,{},22.0
2025-03-02 09:30:00+11:00,1740951750154,1740868200000,{},15.0
2025-03-02 09:00:00+11:00,1740951749529,1740866400000,{},10.0
2025-03-02 08:30:00+11:00,1740951748910,1740864600000,{},6.0
2025-03-02 08:00:00+11:00,1740951748289,1740862800000,{},5.0
2025-03-02 07:30:00+11:00,1740951747669,1740861000000,{},4.0
2025-03-02 07:00:00+11:00,1740951747047,1740859200000,{},2.0
2025-03-02 06:30:00+11:00,1740951746425,1740857400000,{},2.0
2025-03-02 06:00:00+11:00,1740951745805,1740855600000,{},2.0
2025-03-02 05:30:00+11:00,1740951745186,1740853800000,{},2.0
2025-03-02 05:00:00+11:00,1740951744565,1740852000000,{},2.0
2025-03-02 04:30:00+11:00,1740951743945,1740850200000,{},2.0
2025-03-02 04:00:00+11:00,1740951743321,1740848400000,{},2.0
2025-03-02 03:30:00+11:00,1740951742698,1740846600000,{},2.0
2025-03-02 03:00:00+11:00,1740951742078,1740844800000,{},2.0
2025-03-02 02:30:00+11:00,1740951741459,1740843000000,{},2.0
2025-03-02 02:00:00+11:00,1740951740830,1740841200000,{},2.0
2025-03-02 01:30:00+11:00,1740951740206,1740839400000,{},2.0
2025-03-02 01:00:00+11:00,1740951739578,1740837600000,{},2.0
2025-03-02 00:30:00+11:00,1740951738958,1740835800000,{},0.0
2025-03-02 00:00:00+11:00,1740951738338,1740834000000,{},0.0
2025-03-01 23:30:00+11:00,1740869819164,1740832200000,{},93.0
2025-03-01 23:00:00+11:00,1740869818541,1740830400000,{},93.0
2025-03-01 22:30:00+11:00,1740869817917,1740828600000,{},93.0
2025-03-01 22:00:00+11:00,1740869817294,1740826800000,{},93.0
2025-03-01 21:30:00+11:00,1740869816670,1740825000000,{},93.0
2025-03-01 21:00:00+11:00,1740869816047,1740823200000,{},93.0
2025-03-01 20:30:00+11:00,1740869815407,1740821400000,{},93.0
2025-03-01 20:00:00+11:00,1740869814781,1740819600000,{},91.0
2025-03-01 19:30:00+11:00,1740869814159,1740817800000,{},91.0
2025-03-01 19:00:00+11:00,1740869813529,1740816000000,{},89.0
2025-03-01 18:30:00+11:00,1740869812904,1740814200000,{},86.0
2025-03-01 18:00:00+11:00,1740869812274,1740812400000,{},81.0
2025-03-01 17:30:00+11:00,1740869811652,1740810600000,{},77.0
2025-03-01 17:00:00+11:00,1740869811025,1740808800000,{},73.0
2025-03-01 16:30:00+11:00,1740869810400,1740807000000,{},71.0
2025-03-01 16:00:00+11:00,1740869809775,1740805200000,{},65.0
2025-03-01 15:30:00+11:00,1740869809148,1740803400000,{},63.0
2025-03-01 15:00:00+11:00,1740869808525,1740801600000,{},58.0
2025-03-01 14:30:00+11:00,1740869807904,1740799800000,{},54.0
2025-03-01 14:00:00+11:00,1740869807281,1740798000000,{},51.0
2025-03-01 13:30:00+11:00,1740869806657,1740796200000,{},42.0
2025-03-01 13:00:00+11:00,1740869806035,1740794400000,{},39.0
2025-03-01 12:30:00+11:00,1740869805410,1740792600000,{},37.0
2025-03-01 12:00:00+11:00,1740869804785,1740790800000,{},35.0
2025-03-01 11:30:00+11:00,1740869804155,1740789000000,{},26.0
2025-03-01 11:00:00+11:00,1740869803532,1740787200000,{},21.0
2025-03-01 10:30:00+11:00,1740869802910,1740785400000,{},18.0
2025-03-01 10:00:00+11:00,1740869802288,1740783600000,{},13.0
2025-03-01 09:30:00+11:00,1740869801666,1740781800000,{},9.0
2025-03-01 09:00:00+11:00,1740869801045,1740780000000,{},8.0
